artist,TotalDuration
"Tyler, The Creator",533929
Sabrina Carpenter,515513
Chappell Roan,476457
Billie Eilish,471839
SZA,459023
Kendrick Lamar,335590
Gracie Abrams,323446
Sam Barber,286634
Lola Young,284068
The Weeknd,256000
Lady Gaga,251667
Hozier,251424
The Marías,236906
Ariana Grande,228639
Oscar Maydon,225880
Zach Top,224906
Don Toliver,217333
Gigi Perez,211978
Luke Combs,210950
Teddy Swims,210688
Bad Bunny,206627
Morgan Wallen,204828
Zach Bryan,194920
Leon Thomas,192933
Twenty One Pilots,192000
Rauw Alejandro,191018
Benson Boone,180304
Post Malone,178205
Myles Smith,172533
Dasha,171782
Shaboozey,171291
ROSÉ,169917
Addison Rae,169697
Tucker Wetmore,166040
Doechii,159586
Tommy Richman,155151
GloRilla,149461
Mark Ambor,148317
Charli xcx,143330
NLE Choppa,138180
Juice WRLD,135653
The Kid LAROI,86983
